-7.39355,6.07902,2.83883,1
-8.6691,-7.24644,-2.8118,3
-7.87782,8.80634,-8.15771,4
-8.05161,-6.44247,-3.29397,3
-6.86976,11.1421,-6.25472,2
3.57157,-9.11511,3.78537,3
-6.13818,10.764,-5.67712,2
-8.05055,6.69876,-6.15889,4
-6.95183,9.50086,-6.08483,0
-6.27133,10.6741,-4.47716,2
-8.02678,-7.59275,-3.23058,3
5.00042,-7.31893,8.06561,3
3.62993,-7.27039,6.86613,3
5.46424,-6.09776,5.77088,3
-8.69675,7.21533,1.80364,1
4.92674,-7.44054,6.68286,3
-6.20437,6.36986,2.80656,1
-8.16317,-8.34269,-1.35994,3
4.21683,-8.21155,5.98434,3
-6.07478,-8.42664,-1.37788,3
-6.84494,-6.74745,-3.65454,3
-7.97521,5.5972,3.69496,1
-6.34502,-7.86035,-1.84913,3
-8.21849,4.93219,3.37274,1
-5.20727,9.45263,-5.89111,2
-5.26347,9.35377,-4.80221,2
-7.62316,6.34998,-8.16098,4
5.05039,-7.59796,4.99251,3
-7.06914,-7.0316,-2.51389,3
-8.71368,5.85128,-7.01233,4
-6.99368,6.63377,-5.69598,4
-5.24438,9.34601,-4.61466,2
-8.37382,6.05343,-6.47509,4
-8.50025,8.17529,-6.92296,4
-8.05825,6.28849,-8.58726,4
-8.03507,5.94265,-6.39589,4
-4.96426,9.71396,-6.18378,2
-7.93474,8.46884,-5.94485,0
-7.52302,8.68619,-5.76462,0
-4.31967,10.6343,-3.58206,2
-6.84391,4.39117,0.987033,1
-8.08801,-7.69156,-2.95332,3
-9.98956,-7.11999,-3.95415,3
-4.57028,11.1931,-4.21568,2
4.01231,-5.64795,5.841,3
-7.79095,6.32596,0.85016,1
4.76895,-7.94985,7.38027,3
-7.35981,8.00481,-6.87655,4
2.9519,-6.76383,5.46526,3
-8.48343,5.61013,2.50903,1
-5.17487,10.2368,-3.64226,2
-7.3147,7.22412,2.76592,1
4.39042,-6.81882,6.0854,3
-5.56542,10.0298,-3.73671,2
-9.05915,7.5065,-5.47036,4
4.31327,-6.5398,7.03269,3
-8.90269,7.29548,4.2561,1
-6.13465,-6.9056,-3.14926,3
-8.66513,8.16868,-6.7222,4
-6.61554,9.05171,-5.68734,0
5.09911,-8.13059,5.54295,3
-7.75531,8.24584,3.36888,1
-7.08825,5.61502,2.42392,1
-6.0156,10.2209,-2.56541,2
-6.30158,9.67598,-4.78519,2
-7.5898,5.33055,3.17603,1
4.95769,-9.4665,6.96,3
-7.12968,7.17447,-5.53696,0
-5.97191,7.09226,4.30547,1
-7.2783,6.52169,0.87253,1
-6.86848,8.51431,-5.46298,0
-7.58774,5.73053,-6.6319,4
4.33017,-8.7109,6.43316,3
-7.84736,6.36184,-5.8948,4
-7.81217,-6.07025,-3.264,3
4.84181,-8.63498,6.05638,3
4.09494,-7.90737,6.16393,3
-6.42377,6.24115,-5.87794,4
-9.1456,6.38239,2.8118,1
-6.65072,-7.90246,-3.80579,3
-7.11794,-6.39307,-1.23739,3
